TASK 2 - PHASE 3: COUPLED DYNAMICS LOG
Both joints simulated simultaneously with load tracking
===========================================================================

SCENARIO: Stand to Lift
   Time |    Hip° |   Knee° |   Hip Load |  Knee Load |   Hip Net |  Knee Net
  2.000 |  25.000 |   0.000 |    8.6686N |    2.1338N |   3.3314N |   6.3662N
  2.010 |  25.125 |   0.000 |    8.6598N |    2.1316N |   3.3402N |   6.3684N
  2.020 |  25.250 |   0.000 |    8.6509N |    2.1294N |   3.3491N |   6.3706N
  2.030 |  25.375 |   0.000 |    8.6420N |    2.1273N |   3.3580N |   6.3727N
  2.040 |  25.500 |   0.000 |    8.6330N |    2.1250N |   3.3670N |   6.3750N
  2.050 |  25.625 |   0.000 |    8.6240N |    2.1228N |   3.3760N |   6.3772N
  2.060 |  25.750 |   0.000 |    8.6150N |    2.1206N |   3.3850N |   6.3794N
  2.070 |  25.875 |   0.000 |    8.6059N |    2.1184N |   3.3941N |   6.3816N
  2.080 |  26.000 |   0.000 |    8.5967N |    2.1161N |   3.4033N |   6.3839N
  2.090 |  26.125 |   0.000 |    8.5876N |    2.1139N |   3.4124N |   6.3861N
  2.100 |  26.250 |   0.000 |    8.5784N |    2.1116N |   3.4216N |   6.3884N
  2.110 |  26.375 |   0.000 |    8.5691N |    2.1093N |   3.4309N |   6.3907N
  2.120 |  26.500 |   0.000 |    8.5598N |    2.1070N |   3.4402N |   6.3930N
  2.130 |  26.625 |   0.000 |    8.5505N |    2.1047N |   3.4495N |   6.3953N
  2.140 |  26.750 |   0.000 |    8.5411N |    2.1024N |   3.4589N |   6.3976N
  2.150 |  26.875 |   0.000 |    8.5317N |    2.1001N |   3.4683N |   6.3999N
  2.160 |  27.000 |   0.000 |    8.5223N |    2.0978N |   3.4777N |   6.4022N
  2.170 |  27.125 |   0.000 |    8.5128N |    2.0954N |   3.4872N |   6.4046N
  2.180 |  27.250 |   0.000 |    8.5032N |    2.0931N |   3.4968N |   6.4069N
  2.190 |  27.375 |   0.000 |    8.4937N |    2.0907N |   3.5063N |   6.4093N
  2.200 |  27.500 |   0.000 |    8.4840N |    2.0884N |   3.5160N |   6.4116N
  2.210 |  27.625 |   0.000 |    8.4744N |    2.0860N |   3.5256N |   6.4140N
  2.220 |  27.750 |   0.000 |    8.4647N |    2.0836N |   3.5353N |   6.4164N
  2.230 |  27.875 |   0.000 |    8.4549N |    2.0812N |   3.5451N |   6.4188N
  2.240 |  28.000 |   0.000 |    8.4452N |    2.0788N |   3.5548N |   6.4212N
  2.250 |  28.125 |   0.000 |    8.4354N |    2.0764N |   3.5646N |   6.4236N
  2.260 |  28.250 |   0.000 |    8.4255N |    2.0740N |   3.5745N |   6.4260N
  2.270 |  28.375 |   0.000 |    8.4156N |    2.0715N |   3.5844N |   6.4285N
  2.280 |  28.500 |   0.000 |    8.4057N |    2.0691N |   3.5943N |   6.4309N
  2.290 |  28.625 |   0.000 |    8.3957N |    2.0666N |   3.6043N |   6.4334N
  2.300 |  28.750 |   0.000 |    8.3857N |    2.0642N |   3.6143N |   6.4358N
  2.310 |  28.875 |   0.000 |    8.3756N |    2.0617N |   3.6244N |   6.4383N
  2.320 |  29.000 |   0.000 |    8.3655N |    2.0592N |   3.6345N |   6.4408N
  2.330 |  29.125 |   0.000 |    8.3554N |    2.0567N |   3.6446N |   6.4433N
  2.340 |  29.250 |   0.000 |    8.3452N |    2.0542N |   3.6548N |   6.4458N
  2.350 |  29.375 |   0.000 |    8.3350N |    2.0517N |   3.6650N |   6.4483N
  2.360 |  29.500 |   0.000 |    8.3247N |    2.0492N |   3.6753N |   6.4508N
  2.370 |  29.625 |   0.000 |    8.3144N |    2.0466N |   3.6856N |   6.4534N
  2.380 |  29.750 |   0.000 |    8.3041N |    2.0441N |   3.6959N |   6.4559N
  2.390 |  29.875 |   0.000 |    8.2937N |    2.0415N |   3.7063N |   6.4585N
  2.400 |  30.000 |   0.000 |    8.2833N |    2.0390N |   3.7167N |   6.4610N
  2.410 |  30.125 |   0.000 |    8.2729N |    2.0364N |   3.7271N |   6.4636N
  2.420 |  30.250 |   0.000 |    8.2624N |    2.0338N |   3.7376N |   6.4662N
  2.430 |  30.375 |   0.000 |    8.2518N |    2.0312N |   3.7482N |   6.4688N
  2.440 |  30.500 |   0.000 |    8.2413N |    2.0286N |   3.7587N |   6.4714N
  2.450 |  30.625 |   0.000 |    8.2307N |    2.0260N |   3.7693N |   6.4740N
  2.460 |  30.750 |   0.000 |    8.2200N |    2.0234N |   3.7800N |   6.4766N
  2.470 |  30.875 |   0.000 |    8.2093N |    2.0208N |   3.7907N |   6.4792N
  2.480 |  31.000 |   0.000 |    8.1986N |    2.0181N |   3.8014N |   6.4819N
  2.490 |  31.125 |   0.000 |    8.1878N |    2.0155N |   3.8122N |   6.4845N
  2.500 |  31.250 |   0.000 |    8.1770N |    2.0128N |   3.8230N |   6.4872N
  2.510 |  31.375 |   0.000 |    8.1662N |    2.0101N |   3.8338N |   6.4899N
  2.520 |  31.500 |   0.000 |    8.1553N |    2.0075N |   3.8447N |   6.4925N
  2.530 |  31.625 |   0.000 |    8.1444N |    2.0048N |   3.8556N |   6.4952N
  2.540 |  31.750 |   0.000 |    8.1334N |    2.0021N |   3.8666N |   6.4979N
  2.550 |  31.875 |   0.000 |    8.1224N |    1.9994N |   3.8776N |   6.5006N
  2.560 |  32.000 |   0.000 |    8.1114N |    1.9966N |   3.8886N |   6.5034N
  2.570 |  32.125 |   0.000 |    8.1003N |    1.9939N |   3.8997N |   6.5061N
  2.580 |  32.250 |   0.000 |    8.0892N |    1.9912N |   3.9108N |   6.5088N
  2.590 |  32.375 |   0.000 |    8.0780N |    1.9884N |   3.9220N |   6.5116N
  2.600 |  32.500 |   0.000 |    8.0668N |    1.9857N |   3.9332N |   6.5143N
  2.610 |  32.625 |   0.000 |    8.0556N |    1.9829N |   3.9444N |   6.5171N
  2.620 |  32.750 |   0.000 |    8.0443N |    1.9801N |   3.9557N |   6.5199N
  2.630 |  32.875 |   0.000 |    8.0330N |    1.9774N |   3.9670N |   6.5226N
  2.640 |  33.000 |   0.000 |    8.0217N |    1.9746N |   3.9783N |   6.5254N
  2.650 |  33.125 |   0.000 |    8.0103N |    1.9718N |   3.9897N |   6.5282N
  2.660 |  33.250 |   0.000 |    7.9989N |    1.9690N |   4.0011N |   6.5310N
  2.670 |  33.375 |   0.000 |    7.9874N |    1.9661N |   4.0126N |   6.5339N
  2.680 |  33.500 |   0.000 |    7.9759N |    1.9633N |   4.0241N |   6.5367N
  2.690 |  33.625 |   0.000 |    7.9644N |    1.9605N |   4.0356N |   6.5395N
  2.700 |  33.750 |   0.000 |    7.9528N |    1.9576N |   4.0472N |   6.5424N
  2.710 |  33.875 |   0.000 |    7.9412N |    1.9548N |   4.0588N |   6.5452N
  2.720 |  34.000 |   0.000 |    7.9295N |    1.9519N |   4.0705N |   6.5481N
  2.730 |  34.125 |   0.000 |    7.9178N |    1.9490N |   4.0822N |   6.5510N
  2.740 |  34.250 |   0.000 |    7.9061N |    1.9461N |   4.0939N |   6.5539N
  2.750 |  34.375 |   0.000 |    7.8944N |    1.9432N |   4.1056N |   6.5568N
  2.760 |  34.500 |   0.000 |    7.8826N |    1.9403N |   4.1174N |   6.5597N
  2.770 |  34.625 |   0.000 |    7.8707N |    1.9374N |   4.1293N |   6.5626N
  2.780 |  34.750 |   0.000 |    7.8588N |    1.9345N |   4.1412N |   6.5655N
  2.790 |  34.875 |   0.000 |    7.8469N |    1.9316N |   4.1531N |   6.5684N
  2.800 |  35.000 |   0.000 |    7.8350N |    1.9286N |   4.1650N |   6.5714N
  2.810 |  35.125 |   0.000 |    7.8230N |    1.9257N |   4.1770N |   6.5743N
  2.820 |  35.250 |   0.000 |    7.8110N |    1.9227N |   4.1890N |   6.5773N
  2.830 |  35.375 |   0.000 |    7.7989N |    1.9197N |   4.2011N |   6.5803N
  2.840 |  35.500 |   0.000 |    7.7868N |    1.9168N |   4.2132N |   6.5832N
  2.850 |  35.625 |   0.000 |    7.7747N |    1.9138N |   4.2253N |   6.5862N
  2.860 |  35.750 |   0.000 |    7.7625N |    1.9108N |   4.2375N |   6.5892N
  2.870 |  35.875 |   0.000 |    7.7503N |    1.9078N |   4.2497N |   6.5922N
  2.880 |  36.000 |   0.000 |    7.7380N |    1.9047N |   4.2620N |   6.5953N
  2.890 |  36.125 |   0.000 |    7.7258N |    1.9017N |   4.2742N |   6.5983N
  2.900 |  36.250 |   0.000 |    7.7134N |    1.8987N |   4.2866N |   6.6013N
  2.910 |  36.375 |   0.000 |    7.7011N |    1.8957N |   4.2989N |   6.6043N
  2.920 |  36.500 |   0.000 |    7.6887N |    1.8926N |   4.3113N |   6.6074N
  2.930 |  36.625 |   0.000 |    7.6763N |    1.8895N |   4.3237N |   6.6105N
  2.940 |  36.750 |   0.000 |    7.6638N |    1.8865N |   4.3362N |   6.6135N
  2.950 |  36.875 |   0.000 |    7.6513N |    1.8834N |   4.3487N |   6.6166N
  2.960 |  37.000 |   0.000 |    7.6387N |    1.8803N |   4.3613N |   6.6197N
  2.970 |  37.125 |   0.000 |    7.6262N |    1.8772N |   4.3738N |   6.6228N
  2.980 |  37.250 |   0.000 |    7.6136N |    1.8741N |   4.3864N |   6.6259N
  2.990 |  37.375 |   0.000 |    7.6009N |    1.8710N |   4.3991N |   6.6290N
  3.000 |  37.500 |   0.000 |    7.5882N |    1.8679N |   4.4118N |   6.6321N
  3.010 |  37.625 |   0.000 |    7.5755N |    1.8647N |   4.4245N |   6.6353N
  3.020 |  37.750 |   0.000 |    7.5627N |    1.8616N |   4.4373N |   6.6384N
  3.030 |  37.875 |   0.000 |    7.5500N |    1.8585N |   4.4500N |   6.6415N
  3.040 |  38.000 |   0.000 |    7.5371N |    1.8553N |   4.4629N |   6.6447N
  3.050 |  38.125 |   0.000 |    7.5243N |    1.8521N |   4.4757N |   6.6479N
  3.060 |  38.250 |   0.000 |    7.5114N |    1.8490N |   4.4886N |   6.6510N
  3.070 |  38.375 |   0.000 |    7.4984N |    1.8458N |   4.5016N |   6.6542N
  3.080 |  38.500 |   0.000 |    7.4855N |    1.8426N |   4.5145N |   6.6574N
  3.090 |  38.625 |   0.000 |    7.4724N |    1.8394N |   4.5276N |   6.6606N
  3.100 |  38.750 |   0.000 |    7.4594N |    1.8362N |   4.5406N |   6.6638N
  3.110 |  38.875 |   0.000 |    7.4463N |    1.8329N |   4.5537N |   6.6671N
  3.120 |  39.000 |   0.000 |    7.4332N |    1.8297N |   4.5668N |   6.6703N
  3.130 |  39.125 |   0.000 |    7.4201N |    1.8265N |   4.5799N |   6.6735N
  3.140 |  39.250 |   0.000 |    7.4069N |    1.8232N |   4.5931N |   6.6768N
  3.150 |  39.375 |   0.000 |    7.3937N |    1.8200N |   4.6063N |   6.6800N
  3.160 |  39.500 |   0.000 |    7.3804N |    1.8167N |   4.6196N |   6.6833N
  3.170 |  39.625 |   0.000 |    7.3671N |    1.8134N |   4.6329N |   6.6866N
  3.180 |  39.750 |   0.000 |    7.3538N |    1.8102N |   4.6462N |   6.6898N
  3.190 |  39.875 |   0.000 |    7.3404N |    1.8069N |   4.6596N |   6.6931N
  3.200 |  40.000 |   0.000 |    7.3270N |    1.8036N |   4.6730N |   6.6964N
  3.210 |  40.125 |   0.000 |    7.3136N |    1.8003N |   4.6864N |   6.6997N
  3.220 |  40.250 |   0.000 |    7.3001N |    1.7970N |   4.6999N |   6.7030N
  3.230 |  40.375 |   0.000 |    7.2866N |    1.7936N |   4.7134N |   6.7064N
  3.240 |  40.500 |   0.000 |    7.2731N |    1.7903N |   4.7269N |   6.7097N
  3.250 |  40.625 |   0.000 |    7.2595N |    1.7870N |   4.7405N |   6.7130N
  3.260 |  40.750 |   0.000 |    7.2459N |    1.7836N |   4.7541N |   6.7164N
  3.270 |  40.875 |   0.000 |    7.2323N |    1.7803N |   4.7677N |   6.7197N
  3.280 |  41.000 |   0.000 |    7.2186N |    1.7769N |   4.7814N |   6.7231N
  3.290 |  41.125 |   0.000 |    7.2049N |    1.7735N |   4.7951N |   6.7265N
  3.300 |  41.250 |   0.000 |    7.1912N |    1.7701N |   4.8088N |   6.7299N
  3.310 |  41.375 |   0.000 |    7.1774N |    1.7667N |   4.8226N |   6.7333N
  3.320 |  41.500 |   0.000 |    7.1636N |    1.7633N |   4.8364N |   6.7367N
  3.330 |  41.625 |   0.000 |    7.1497N |    1.7599N |   4.8503N |   6.7401N
  3.340 |  41.750 |   0.000 |    7.1359N |    1.7565N |   4.8641N |   6.7435N
  3.350 |  41.875 |   0.000 |    7.1219N |    1.7531N |   4.8781N |   6.7469N
  3.360 |  42.000 |   0.000 |    7.1080N |    1.7497N |   4.8920N |   6.7503N
  3.370 |  42.125 |   0.000 |    7.0940N |    1.7462N |   4.9060N |   6.7538N
  3.380 |  42.250 |   0.000 |    7.0800N |    1.7428N |   4.9200N |   6.7572N
  3.390 |  42.375 |   0.000 |    7.0660N |    1.7393N |   4.9340N |   6.7607N
  3.400 |  42.500 |   0.000 |    7.0519N |    1.7358N |   4.9481N |   6.7642N
  3.410 |  42.625 |   0.000 |    7.0378N |    1.7324N |   4.9622N |   6.7676N
  3.420 |  42.750 |   0.000 |    7.0236N |    1.7289N |   4.9764N |   6.7711N
  3.430 |  42.875 |   0.000 |    7.0094N |    1.7254N |   4.9906N |   6.7746N
  3.440 |  43.000 |   0.000 |    6.9952N |    1.7219N |   5.0048N |   6.7781N
  3.450 |  43.125 |   0.000 |    6.9810N |    1.7184N |   5.0190N |   6.7816N
  3.460 |  43.250 |   0.000 |    6.9667N |    1.7149N |   5.0333N |   6.7851N
  3.470 |  43.375 |   0.000 |    6.9524N |    1.7114N |   5.0476N |   6.7886N
  3.480 |  43.500 |   0.000 |    6.9380N |    1.7078N |   5.0620N |   6.7922N
  3.490 |  43.625 |   0.000 |    6.9236N |    1.7043N |   5.0764N |   6.7957N
  3.500 |  43.750 |   0.000 |    6.9092N |    1.7007N |   5.0908N |   6.7993N
  3.510 |  43.875 |   0.000 |    6.8948N |    1.6972N |   5.1052N |   6.8028N
  3.520 |  44.000 |   0.000 |    6.8803N |    1.6936N |   5.1197N |   6.8064N
  3.530 |  44.125 |   0.000 |    6.8658N |    1.6900N |   5.1342N |   6.8100N
  3.540 |  44.250 |   0.000 |    6.8512N |    1.6865N |   5.1488N |   6.8135N
  3.550 |  44.375 |   0.000 |    6.8367N |    1.6829N |   5.1633N |   6.8171N
  3.560 |  44.500 |   0.000 |    6.8221N |    1.6793N |   5.1779N |   6.8207N
  3.570 |  44.625 |   0.000 |    6.8074N |    1.6757N |   5.1926N |   6.8243N
  3.580 |  44.750 |   0.000 |    6.7927N |    1.6721N |   5.2073N |   6.8279N
  3.590 |  44.875 |   0.000 |    6.7780N |    1.6684N |   5.2220N |   6.8316N
  3.600 |  45.000 |   0.000 |    6.7633N |    1.6648N |   5.2367N |   6.8352N
  3.610 |  45.125 |   0.000 |    6.7485N |    1.6612N |   5.2515N |   6.8388N
  3.620 |  45.250 |   0.000 |    6.7337N |    1.6575N |   5.2663N |   6.8425N
  3.630 |  45.375 |   0.000 |    6.7189N |    1.6539N |   5.2811N |   6.8461N
  3.640 |  45.500 |   0.000 |    6.7040N |    1.6502N |   5.2960N |   6.8498N
  3.650 |  45.625 |   0.000 |    6.6891N |    1.6466N |   5.3109N |   6.8534N
  3.660 |  45.750 |   0.000 |    6.6742N |    1.6429N |   5.3258N |   6.8571N
  3.670 |  45.875 |   0.000 |    6.6592N |    1.6392N |   5.3408N |   6.8608N
  3.680 |  46.000 |   0.000 |    6.6442N |    1.6355N |   5.3558N |   6.8645N
  3.690 |  46.125 |   0.000 |    6.6292N |    1.6318N |   5.3708N |   6.8682N
  3.700 |  46.250 |   0.000 |    6.6141N |    1.6281N |   5.3859N |   6.8719N
  3.710 |  46.375 |   0.000 |    6.5991N |    1.6244N |   5.4009N |   6.8756N
  3.720 |  46.500 |   0.000 |    6.5839N |    1.6207N |   5.4161N |   6.8793N
  3.730 |  46.625 |   0.000 |    6.5688N |    1.6169N |   5.4312N |   6.8831N
  3.740 |  46.750 |   0.000 |    6.5536N |    1.6132N |   5.4464N |   6.8868N
  3.750 |  46.875 |   0.000 |    6.5384N |    1.6094N |   5.4616N |   6.8906N
  3.760 |  47.000 |   0.000 |    6.5231N |    1.6057N |   5.4769N |   6.8943N
  3.770 |  47.125 |   0.000 |    6.5079N |    1.6019N |   5.4921N |   6.8981N
  3.780 |  47.250 |   0.000 |    6.4926N |    1.5982N |   5.5074N |   6.9018N
  3.790 |  47.375 |   0.000 |    6.4772N |    1.5944N |   5.5228N |   6.9056N
  3.800 |  47.500 |   0.000 |    6.4619N |    1.5906N |   5.5381N |   6.9094N
  3.810 |  47.625 |   0.000 |    6.4465N |    1.5868N |   5.5535N |   6.9132N
  3.820 |  47.750 |   0.000 |    6.4310N |    1.5830N |   5.5690N |   6.9170N
  3.830 |  47.875 |   0.000 |    6.4156N |    1.5792N |   5.5844N |   6.9208N
  3.840 |  48.000 |   0.000 |    6.4001N |    1.5754N |   5.5999N |   6.9246N
  3.850 |  48.125 |   0.000 |    6.3845N |    1.5716N |   5.6155N |   6.9284N
  3.860 |  48.250 |   0.000 |    6.3690N |    1.5678N |   5.6310N |   6.9322N
  3.870 |  48.375 |   0.000 |    6.3534N |    1.5639N |   5.6466N |   6.9361N
  3.880 |  48.500 |   0.000 |    6.3378N |    1.5601N |   5.6622N |   6.9399N
  3.890 |  48.625 |   0.000 |    6.3222N |    1.5562N |   5.6778N |   6.9438N
  3.900 |  48.750 |   0.000 |    6.3065N |    1.5524N |   5.6935N |   6.9476N
  3.910 |  48.875 |   0.000 |    6.2908N |    1.5485N |   5.7092N |   6.9515N
  3.920 |  49.000 |   0.000 |    6.2750N |    1.5446N |   5.7250N |   6.9554N
  3.930 |  49.125 |   0.000 |    6.2593N |    1.5407N |   5.7407N |   6.9593N
  3.940 |  49.250 |   0.000 |    6.2435N |    1.5369N |   5.7565N |   6.9631N
  3.950 |  49.375 |   0.000 |    6.2277N |    1.5330N |   5.7723N |   6.9670N
  3.960 |  49.500 |   0.000 |    6.2118N |    1.5291N |   5.7882N |   6.9709N
  3.970 |  49.625 |   0.000 |    6.1959N |    1.5252N |   5.8041N |   6.9748N
  3.980 |  49.750 |   0.000 |    6.1800N |    1.5212N |   5.8200N |   6.9788N
  3.990 |  49.875 |   0.000 |    6.1641N |    1.5173N |   5.8359N |   6.9827N
  4.000 |  50.000 |   0.000 |    6.1481N |    1.5134N |   5.8519N |   6.9866N

